,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,disposition
4471,0.0,0.0,0.0,0.0011266858866023793,1.058170106434942e-05,0.0,0.005,0.9999936512049754,3.0499075785582254e-05,0.995,0
4472,0.0,1.0,0.0,0.0009609967856314412,1.357652212029737e-05,0.0,0.028019801980198024,0.9999801762114537,7.116451016635859e-05,0.971980198019802,2
4473,0.0,0.0,1.0,0.005070086489710707,0.00019057044652682117,0.0,0.020148514851485153,0.9999409173360975,0.0006321626617375231,0.9798514851485148,2
4474,0.0,1.0,0.0,0.0007953076846605031,0.0002432792971115051,0.0,0.09405940594059406,0.9999435086810055,0.0009422365988909426,0.905940594059406,2
4475,0.0,1.0,0.0,0.0004860213628480852,3.3941305300743422e-06,0.0,0.04034653465346535,0.9999981860585644,6.469500924214418e-06,0.9596534653465346,2
4476,0.0,0.0,0.0,0.001170869646861296,6.0395557961616985e-06,0.0,0.018217821782178217,0.9999988338947914,9.242144177449168e-06,0.9817821782178218,0
4477,0.0,1.0,0.0,0.0004639294827186267,1.417548633148696e-05,0.0,0.03955445544554456,0.9999970199533558,5.5452865064695004e-05,0.9604455445544554,2
4478,0.0,0.0,1.0,0.0014249262683500678,1.9765818969256467e-05,0.0,0.006435643564356436,0.999994817310184,5.4528650646950086e-05,0.9935643564356436,2
4479,0.0,0.0,1.0,0.5224177353613679,0.00014544847595053875,0.0,7.524752475247524e-05,0.9999503757450117,0.000216728280961183,0.9999247524752475,2
4480,0.0,1.0,0.0,0.0005412510631717313,1.4474968437081756e-05,0.0,0.03346534653465346,0.9999962425498834,5.2680221811460255e-05,0.9665346534653465,2
4481,0.0,1.0,0.0,0.0008615833250488782,3.473992424899621e-05,0.0,0.01925742574257426,0.9999971495206011,6.6543438077634e-05,0.9807425742574257,2
4482,0.0,0.0,0.0,0.0015022478488031722,7.1376568500092795e-06,0.0,0.015247524752475247,0.9999989634620368,5.083179297597043e-06,0.9847524752475247,0
4483,0.0,1.0,0.0,0.0011266858866023793,6.928019376092923e-05,0.0,0.04930693069306931,0.9999549105986006,4.9445471349353054e-05,0.9506930693069306,2
4484,0.0,1.0,0.0,0.021418077785509932,0.00015702845070020416,0.0,0.0203960396039604,0.9999598341539259,0.0002449168207024029,0.9796039603960396,2
4485,0.0,0.0,0.0,0.006958942240779401,9.109247378508346e-05,0.0,0.0014504950495049505,0.9999120238403731,0.00020933456561922367,0.9985495049504951,0
4486,0.0,1.0,0.0,0.0004528835426538975,2.1712452655622635e-05,0.0,0.09900990099009901,0.9999814718839077,8.040665434380776e-05,0.900990099009901,2
4487,0.0,1.0,0.0,0.0013696965680264218,1.3127298961905179e-05,0.0,0.0693069306930693,0.9999966312516196,6.56192236598891e-05,0.9306930693069307,2
4488,0.0,0.0,0.0,0.0022533717732047586,4.12786168878159e-05,0.0,0.03217821782178218,0.9999744752526561,0.00021072088724584102,0.9678217821782178,0
4489,0.0,0.0,0.0,0.0012702831074438588,1.1729715802462804e-05,0.0,0.031732673267326726,0.9999972790878466,1.9408502772643252e-05,0.9682673267326732,0
4490,0.0,0.0,0.0,0.0009941346058256286,1.3127298961905179e-05,0.0,0.035,0.99999352163773,8.780036968576709e-05,0.965,0
4491,0.0,0.0,0.0,0.000740077984336857,5.191023163643112e-06,0.0,0.027821782178217826,0.9999985747603006,4.621072088724584e-06,0.9721782178217822,0
4492,0.0,0.0,0.0,0.0006627564038837524,1.302747159337358e-05,0.0,0.029554455445544553,0.9999950764446748,5.0369685767097966e-05,0.9704455445544554,0
4493,0.0,0.0,1.0,0.40083507306889354,0.00039856076886240626,0.0,7.970297029702971e-05,0.9998780772220782,0.00080452865064695,0.999920297029703,2
4494,0.0,1.0,0.0,0.0004860213628480852,1.0881183169944215e-05,0.0,0.03574257425742574,0.9999977973568281,3.142329020332717e-05,0.9642574257425742,2
4495,0.0,0.0,1.0,0.5166959384078382,0.0017965931514631749,0.0,1.881188118811881e-05,0.9993728945322622,0.005217190388170055,0.9999811881188119,2
