,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
387,0,0,0,53.2,2.9,0,0.0382,-0.19,0.4,-0.0382,CONFIRMED
388,0,0,0,437.5,4.91,0,0.00733,-0.33,0.3,-0.00733,CONFIRMED
389,0,0,1,37.5,19.68,0,0.124,-2.21,1.77,-0.124,FALSE POSITIVE
390,0,0,0,23.1,2.01,0,0.10099999999999999,-0.21,0.62,-0.10099999999999999,CONFIRMED
391,0,1,0,66.7,38.98,0,0.0617,-4.76,11.11,-0.0617,FALSE POSITIVE
392,1,0,0,17.1,1.17,0,0.19899999999999998,-0.13,0.12,-0.19899999999999998,FALSE POSITIVE
393,0,0,0,21.7,1.37,1,0.0818,-0.11,0.25,-0.0818,FALSE POSITIVE
394,0,0,0,39.6,2.05,0,0.0435,-0.24,0.16,-0.0435,CONFIRMED
395,0,0,0,66.8,2.0,0,0.055999999999999994,-0.15,0.15,-0.055999999999999994,CONFIRMED
396,1,0,0,27.2,1.44,1,0.534,-0.12,0.35,-0.534,FALSE POSITIVE
397,0,0,0,33.1,2.32,0,0.0906,-0.24,0.39,-0.0906,CANDIDATE
398,0,0,0,18.3,0.74,0,0.09,-0.11,0.09,-0.09,CONFIRMED
399,1,0,0,26.7,1.19,1,0.122,-0.27,0.34,-0.122,FALSE POSITIVE
400,0,0,0,50.7,2.31,0,0.0456,-0.18,0.11,-0.0456,CONFIRMED
401,0,0,0,156.5,4.43,0,0.0646,-0.49,0.74,-0.0646,CANDIDATE
402,0,0,0,28.9,2.7,0,0.131,-0.28,0.84,-0.131,CANDIDATE
403,1,0,1,36.7,4.42,1,0.19899999999999998,-0.46,1.38,-0.19899999999999998,FALSE POSITIVE
404,0,0,1,2561.1,19.81,0,0.0054,-2.14,6.4,-0.0054,FALSE POSITIVE
405,1,0,0,63.0,3.78,1,0.0608,-0.44,1.04,-0.0608,FALSE POSITIVE
406,0,0,0,35.9,2.04,0,0.0842,-0.11,0.1,-0.0842,CONFIRMED
407,0,0,0,50.4,4.39,0,0.0582,-1.13,0.61,-0.0582,CONFIRMED
408,1,0,1,44.3,1.35,1,0.0637,-0.15,0.18,-0.0637,FALSE POSITIVE
409,0,0,0,19.0,1.67,0,0.131,-0.12,0.08,-0.131,CANDIDATE
410,0,0,0,16.2,1.42,0,0.122,-0.1,0.07,-0.122,CANDIDATE
411,0,0,0,16.5,1.25,0,0.081,-0.09,0.06,-0.081,CONFIRMED
412,0,0,0,14.3,1.71,0,0.293,-0.31,0.3,-0.293,CONFIRMED
413,0,0,0,38.7,0.9,0,0.0399,-0.08,0.14,-0.0399,CONFIRMED
